source_center,destination_center,shipments,breach_count,breach_rate,median_delay_ratio,sla_breach_contribution
IND000000AAL,IND411033AAA,37,37,1.0,2.4166666666666665,0.02702663218944939
IND000000AAQ,IND700028AAB,4,4,1.0,6.071428571428571,0.002921798074535069
IND000000AAS,IND783370AAC,18,18,1.0,1.7112794612794613,0.013148091335407808
IND000000AAZ,IND444203AAA,3,3,1.0,4.365853658536586,0.0021913485559013016
IND000000AAZ,IND444303AAA,3,3,1.0,4.0,0.0021913485559013016
IND000000ABA,IND683565AAA,13,5,0.38461538461538464,1.0952380952380953,0.003652247593168836
IND000000ABD,IND562132AAA,144,144,1.0,1.6409012020312401,0.10518473068326246
IND000000ABG,IND501359AAF,41,40,0.975609756097561,2.3333333333333335,0.02921798074535069
IND000000ACA,IND140406AAA,6,6,1.0,1.699248120300752,0.004382697111802603
IND000000ACA,IND142001AAB,36,36,1.0,1.519091847265222,0.026296182670815616
IND000000ACA,IND142401AAA,24,23,0.9583333333333334,1.6842105263157894,0.016800338928576644
IND000000ACA,IND143001AAA,7,7,1.0,1.619718309859155,0.0051131466304363705
IND000000ACA,IND144001AAB,51,51,1.0,1.5769230769230769,0.037252925450322126
IND000000ACA,IND144514AAA,24,13,0.5416666666666666,1.2487179487179487,0.009495843742238974
IND000000ACA,IND147301AAA,6,6,1.0,1.6851851851851851,0.004382697111802603
IND000000ACA,IND152026AAA,7,7,1.0,1.514018691588785,0.0051131466304363705
IND000000ACA,IND160002AAC,303,300,0.9900990099009901,1.9361702127659575,0.21913485559013016
IND000000ACB,IND000000AEL,138,135,0.9782608695652174,1.6229096989966556,0.09861068501555857
IND000000ACB,IND110024AAA,36,36,1.0,2.098148148148148,0.026296182670815616
IND000000ACB,IND110030AAD,135,125,0.9259259259259259,1.6734693877551021,0.0913061898292209
IND000000ACB,IND110037AAK,158,139,0.879746835443038,1.5384615384615385,0.10153248309009363
IND000000ACB,IND110043AAA,67,61,0.9104477611940298,1.7142857142857142,0.0445574206366598
IND000000ACB,IND110043AAC,45,45,1.0,1.8,0.032870228338519526
IND000000ACB,IND110052AAA,14,14,1.0,1.3333333333333333,0.010226293260872741
IND000000ACB,IND110064AAA,286,225,0.7867132867132867,1.4555335968379448,0.16435114169259762
IND000000ACB,IND110085AAB,165,156,0.9454545454545454,1.5454545454545454,0.11395012490686769
IND000000ACB,IND110092AAC,35,33,0.9428571428571428,1.627906976744186,0.02410483411491432
IND000000ACB,IND110095AAB,266,152,0.5714285714285714,2.0,0.11102832683233262
IND000000ACB,IND121002AAB,341,319,0.9354838709677419,1.6,0.23301339644417174
IND000000ACB,IND121004AAB,185,176,0.9513513513513514,1.5806451612903225,0.12855911527954303
IND000000ACB,IND122001AAA,224,162,0.7232142857142857,1.3944444444444444,0.11833282201867028
IND000000ACB,IND122015AAC,8,8,1.0,1.95,0.005843596149070138
IND000000ACB,IND124103AAA,29,29,1.0,1.9565217391304348,0.021183036040379247
IND000000ACB,IND124112AAA,35,34,0.9714285714285714,1.9634146341463414,0.02483528363354809
IND000000ACB,IND125001AAA,105,104,0.9904761904761905,2.1875,0.07596674993791179
IND000000ACB,IND125005AAA,28,28,1.0,1.7626641651031894,0.020452586521745482
IND000000ACB,IND125033AAA,12,12,1.0,2.264397689768977,0.008765394223605207
IND000000ACB,IND127021AAA,10,10,1.0,2.0081092616303886,0.007304495186337672
IND000000ACB,IND131028AAB,741,667,0.9001349527665317,1.75,0.4872098289287227
IND000000ACB,IND160002AAC,656,637,0.9710365853658537,1.8590322580645162,0.4652963433697097
IND000000ACB,IND201001AAC,36,33,0.9166666666666666,1.5454545454545454,0.02410483411491432
IND000000ACB,IND201007AAA,63,44,0.6984126984126984,1.5625,0.03213977881988576
IND000000ACB,IND201301AAF,62,38,0.6129032258064516,1.4010741510741511,0.027757081708083154
IND000000ACB,IND201301AAM,304,300,0.9868421052631579,1.9852941176470589,0.21913485559013016
IND000000ACB,IND209304AAA,269,263,0.9776951672862454,2.303448275862069,0.1921082234006808
IND000000ACB,IND282002AAD,72,72,1.0,1.9532710280373833,0.05259236534163123
IND000000ACB,IND301001AAB,24,6,0.25,1.0227272727272727,0.004382697111802603
IND000000ACB,IND301705AAA,3,3,1.0,3.588235294117647,0.0021913485559013016
IND000000ACB,IND302014AAA,270,270,1.0,2.029827662395051,0.19722137003111714
IND000000ACB,IND302022AAD,180,180,1.0,1.7249096748293857,0.1314809133540781
IND000000ACB,IND328001AAA,50,44,0.88,1.7418941784424018,0.03213977881988576
IND000000ACB,IND382430AAB,557,557,1.0,1.8881278538812785,0.4068603818790083
IND000000ACB,IND390022AAA,385,361,0.9376623376623376,1.7955271565495208,0.26369227622679
IND000000ACB,IND411033AAA,1120,1110,0.9910714285714286,1.7577352472089314,0.8107989656834816
IND000000ACB,IND421302AAG,1617,1617,1.0,1.8706467661691542,1.1811368716308015
IND000000ACB,IND462022AAA,458,458,1.0,1.7523526385862986,0.33454587953426534
IND000000ACB,IND474003AAA,13,13,1.0,2.1970443349753697,0.009495843742238974
IND000000ACB,IND501359AAE,1639,1637,0.9987797437461867,1.8243243243243243,1.1957458620034769
IND000000ACB,IND521225AAB,686,686,1.0,1.9303796518607443,0.5010883697827643
IND000000ACB,IND562132AAA,4976,4961,0.9969855305466238,1.6844001999514844,3.623760061942119
IND000000ACB,IND600056AAB,1015,1015,1.0,1.7717842323651452,0.7414062614132738
IND000000ACB,IND712311AAA,2862,2859,0.9989517819706499,2.026579314094646,2.0883551737739405
IND000000ACB,IND751002AAB,853,843,0.9882766705744431,1.930795847750865,0.6157689442082658
IND000000ACB,IND821115AAB,665,665,1.0,2.1115537848605577,0.48574892989145524
IND000000ACB,IND834002AAB,729,727,0.9972565157750343,1.9363636363636363,0.5310368000467487
IND000000ACB,IND842001AAA,720,720,1.0,1.9097730209562336,0.5259236534163124
IND000000ACK,IND501359AAF,94,93,0.9893617021276596,2.486842105263158,0.06793180523294036
IND000000ACN,IND501359AAF,32,32,1.0,2.2287581699346406,0.02337438459628055
IND000000ACT,IND000000ACB,314,257,0.8184713375796179,1.5205254515599342,0.18772552628887818
IND000000ACT,IND131028AAB,175,110,0.6285714285714286,1.3333333333333333,0.08034944704971439
IND000000ACT,IND160002AAC,210,206,0.9809523809523809,1.7976190476190477,0.15047260083855604
IND000000ADM,IND683511AAA,3,3,1.0,1.4545454545454546,0.0021913485559013016
IND000000ADV,IND600044AAC,72,72,1.0,1.6666666666666667,0.05259236534163123
IND000000AEL,IND000000ACB,102,96,0.9411764705882353,1.7192118226600983,0.07012315378884165
IND000000AEM,IND110037AAB,51,48,0.9411764705882353,2.076923076923077,0.035061576894420826
IND000000AEM,IND110064AAB,66,66,1.0,1.9645989974937343,0.04820966822982864
IND000000AET,IND000000AAS,24,24,1.0,2.4680272108843537,0.017530788447210413
IND000000AFF,IND734203AAA,3,3,1.0,4.842105263157895,0.0021913485559013016
IND000000AFG,IND673027AAB,2,2,1.0,1.7648953301127213,0.0014608990372675344
IND000000AFG,IND673632AAA,6,6,1.0,2.176245210727969,0.004382697111802603
IND000000AFJ,IND695121AAA,40,7,0.175,1.0769230769230769,0.0051131466304363705
IND000000AFJ,IND695572AAB,2,2,1.0,2.111111111111111,0.0014608990372675344
IND000000AFR,IND683511AAA,24,24,1.0,1.9045454545454545,0.017530788447210413
IND000000AFT,IND400072AAB,20,20,1.0,2.0,0.014608990372675344
IND000000AFT,IND400701AAA,2,2,1.0,2.8903508771929824,0.0014608990372675344
IND000000AFT,IND400706AAA,3,3,1.0,5.222222222222222,0.0021913485559013016
IND000000AFT,IND410206AAA,5,5,1.0,2.5,0.003652247593168836
IND000000AFT,IND410206AAB,2,2,1.0,3.0588235294117645,0.0014608990372675344
IND000000AFT,IND410209AAA,80,80,1.0,2.1666666666666665,0.05843596149070138
IND000000AFT,IND410210AAA,25,25,1.0,2.875,0.018261237965844182
IND000000AFT,IND421302AAG,29,29,1.0,2.769230769230769,0.021183036040379247
IND110014AAA,IND110024AAA,20,20,1.0,3.2857142857142856,0.014608990372675344
IND110020AAB,IND110037AAM,11,11,1.0,2.739130434782609,0.00803494470497144
IND110024AAA,IND110014AAA,13,13,1.0,2.0,0.009495843742238974
IND110030AAD,IND000000ACB,34,33,0.9705882352941176,1.6631205673758864,0.02410483411491432
IND110035AAC,IND110037AAM,6,6,1.0,1.619047619047619,0.004382697111802603
IND110037AAK,IND000000ACB,177,171,0.9661016949152542,1.8421052631578947,0.1249068676863742
IND110037AAM,IND000000ACB,24,23,0.9583333333333334,1.586993970714901,0.016800338928576644
IND110037AAM,IND110020AAB,26,26,1.0,3.217391304347826,0.018991687484477947
IND110037AAM,IND110024AAA,36,36,1.0,2.6243478260869564,0.026296182670815616
IND110037AAM,IND110035AAC,72,67,0.9305555555555556,2.0513157894736844,0.0489401177484624
IND110037AAM,IND110064AAA,3,3,1.0,2.1875,0.0021913485559013016
IND110037AAM,IND110085AAB,46,45,0.9782608695652174,1.8660714285714286,0.032870228338519526
IND110037AAM,IND110092AAC,3,3,1.0,2.193548387096774,0.0021913485559013016
IND110037AAM,IND121004AAB,138,135,0.9782608695652174,1.9807692307692308,0.09861068501555857
IND110037AAM,IND125001AAA,7,7,1.0,1.734375,0.0051131466304363705
IND110037AAM,IND131028AAB,5,4,0.8,2.051282051282051,0.002921798074535069
IND110037AAM,IND201001AAC,29,23,0.7931034482758621,1.7755102040816326,0.016800338928576644
IND110037AAM,IND201007AAA,18,15,0.8333333333333334,1.964705882352941,0.010956742779506508
IND110037AAM,IND201301AAD,9,9,1.0,2.4814814814814814,0.006574045667703904
IND110037AAM,IND201301AAF,15,15,1.0,1.962962962962963,0.010956742779506508
IND110037AAM,IND202001AAB,152,151,0.993421052631579,1.6680790960451977,0.11029787731369886
IND110037AAM,IND209304AAA,449,449,1.0,1.9080459770114941,0.3279718338665615
IND110037AAM,IND226004AAC,20,20,1.0,1.8646459304841114,0.014608990372675344
IND110037AAM,IND250002AAC,8,4,0.5,1.4419642857142856,0.002921798074535069
IND110037AAM,IND282001AAA,32,32,1.0,1.9384941675503713,0.02337438459628055
IND110037AAM,IND282001AAC,8,8,1.0,2.0399234345091606,0.005843596149070138
IND110037AAM,IND282002AAD,8,8,1.0,1.9362701252236136,0.005843596149070138
IND110037AAM,IND421302AAG,815,815,1.0,1.9971014492753623,0.5953163576865204
IND110037AAM,IND781018AAB,68,68,1.0,2.84535054236484,0.04967056726709618
IND110037AAM,IND811399AAA,22,13,0.5909090909090909,1.534313725490196,0.009495843742238974
IND110039AAA,IND110085AAB,6,6,1.0,3.5589743589743588,0.004382697111802603
IND110043AAA,IND000000ACB,19,18,0.9473684210526315,3.0,0.013148091335407808
IND110043AAA,IND110078AAA,66,52,0.7878787878787878,1.4472222222222222,0.037983374968955895
IND110043AAC,IND000000ACB,5,5,1.0,1.6206896551724137,0.003652247593168836
IND110044AAB,IND000000ACB,453,403,0.8896247240618101,1.5238095238095237,0.29437115600940816
IND110044AAB,IND110030AAD,60,50,0.8333333333333334,1.4666666666666666,0.036522475931688364
IND110044AAB,IND110037AAM,7,7,1.0,2.0476190476190474,0.0051131466304363705
IND110044AAB,IND131028AAB,200,119,0.595,1.2732780612244898,0.0869234927174183
IND110044AAB,IND201007AAA,22,22,1.0,2.772727272727273,0.01606988940994288
IND110044AAB,IND201301AAF,24,21,0.875,1.5555555555555556,0.015339439891309111
IND110052AAA,IND000000ACB,70,70,1.0,1.6481481481481481,0.0511314663043637
IND110064AAA,IND000000ACB,231,191,0.8268398268398268,1.3414634146341464,0.13951585805904954
IND110064AAA,IND110005AAA,3,3,1.0,3.0,0.0021913485559013016
IND110064AAA,IND110046AAA,1,1,1.0,3.0,0.0007304495186337672
IND110077AAA,IND110043AAA,1,1,1.0,1.3333333333333333,0.0007304495186337672
IND110078AAA,IND110043AAA,28,28,1.0,2.3380681818181817,0.020452586521745482
IND110083AAA,IND110085AAB,2,1,0.5,2.042016806722689,0.0007304495186337672
IND110085AAB,IND000000ACB,49,49,1.0,2.85,0.035792026413054595
IND110085AAB,IND110039AAA,7,4,0.5714285714285714,2.076923076923077,0.002921798074535069
IND110085AAB,IND110083AAA,5,5,1.0,4.0,0.003652247593168836
IND110085AAB,IND110085AAA,1,1,1.0,2.076923076923077,0.0007304495186337672
IND110085AAB,IND110087AAA,5,3,0.6,2.0,0.0021913485559013016
IND110092AAC,IND000000ACB,41,41,1.0,1.6,0.029948430263984454
IND110092AAC,IND110093AAA,2,2,1.0,3.25,0.0014608990372675344
IND110093AAA,IND110092AAC,2,2,1.0,3.2222222222222223,0.0014608990372675344
IND110095AAB,IND000000ACB,7,7,1.0,1.4666666666666666,0.0051131466304363705
IND121001AAA,IND121004AAB,49,48,0.9795918367346939,1.9090909090909092,0.035061576894420826
IND121002AAA,IND121004AAB,1,1,1.0,19.083333333333332,0.0007304495186337672
IND121002AAB,IND000000ACB,163,147,0.901840490797546,1.75,0.10737607923916377
IND121004AAA,IND121004AAB,20,19,0.95,2.2225274725274726,0.013878540854041577
IND121004AAB,IND000000ACB,189,188,0.9947089947089947,1.8,0.13732450950314823
IND121004AAB,IND110037AAM,110,110,1.0,2.403985507246377,0.08034944704971439
IND121004AAB,IND121001AAA,45,45,1.0,1.7,0.032870228338519526
IND121004AAB,IND121002AAA,2,2,1.0,2.909090909090909,0.0014608990372675344
IND121004AAB,IND121004AAA,46,46,1.0,1.75,0.03360067785715329
IND121004AAB,IND121004AAC,18,18,1.0,2.1394230769230766,0.013148091335407808
IND121004AAB,IND121102AAA,205,205,1.0,2.0,0.14974215131992227
IND121004AAC,IND121004AAB,12,12,1.0,2.708333333333333,0.008765394223605207
IND121102AAA,IND121004AAB,52,52,1.0,3.9155172413793102,0.037983374968955895
IND122001AAA,IND000000ACB,80,67,0.8375,1.6470588235294117,0.0489401177484624
IND122001AAA,IND110037AAM,1,1,1.0,3.8666666666666667,0.0007304495186337672
IND122001AAA,IND122001AAD,6,6,1.0,3.176923076923077,0.004382697111802603
IND122001AAA,IND122050AAA,3,3,1.0,4.892857142857143,0.0021913485559013016
