source_center,destination_center,corridor_type,recommended_mode,avg_ftl_prob,hours_saved,extra_cost,cost_per_hour_saved
IND000000AAL,IND411033AAA,Stable,Carting,0.2871845,0.15925675675675682,7.318969189189188,45.95704030547303
IND000000AAQ,IND700028AAB,Stable,Carting,0.00010234656,0.19562499999999997,4.38132625,22.396555910543135
IND000000AAS,IND783370AAC,Stable,Carting,0.42494386,0.12638888888888894,12.90159888888889,102.07858461538459
IND000000AAZ,IND444203AAA,Congested,FTL,0.63865924,0.45416666666666666,18.38163833333333,40.47333211009174
IND000000AAZ,IND444303AAA,Stable,FTL,0.66717696,0.30583333333333346,15.993623333333332,52.29522615803812
IND000000ABA,IND683565AAA,Stable,Carting,0.031623267,0.07711538461538463,5.830776538461539,75.61106733167081
IND000000ABD,IND562132AAA,Congested,FTL,0.8956409,0.8421701388888891,76.72821795138888,91.10773988332059
IND000000ABG,IND501359AAF,Stable,Carting,0.2844207,0.27792682926829265,8.545310609756097,30.74662000877578
IND000000ACA,IND140406AAA,Stable,FTL,0.8182698,0.13083333333333336,14.7588175,112.80624840764328
IND000000ACA,IND142001AAB,Stable,FTL,0.6762194,0.1609027777777778,18.921944999999997,117.59862235649543
IND000000ACA,IND142401AAA,Stable,FTL,0.6289849,0.10229166666666671,9.50097895833333,92.8812606924643
IND000000ACA,IND143001AAA,Stable,FTL,0.85392827,0.290357142857143,34.03802,117.22811316113157
IND000000ACA,IND144001AAB,Stable,FTL,0.82438797,0.14387254901960786,17.24561656862745,119.86731788756387
IND000000ACA,IND144514AAA,Stable,Carting,0.59551316,0.20760416666666662,18.544910416666667,89.3282187656799
IND000000ACA,IND147301AAA,Stable,Carting,0.55754834,0.1258333333333334,11.246369166666666,89.37511920529795
IND000000ACA,IND152026AAA,Stable,FTL,0.8175849,0.2614285714285714,32.83816,125.61044808743172
IND000000ACA,IND160002AAC,Stable,FTL,0.7662833,0.21149339933993402,20.728198778877882,98.00872671946316
IND000000ACB,IND000000AEL,Stable,Carting,0.28135476,0.21360507246376817,13.44451829710145,62.941006700025426
IND000000ACB,IND110024AAA,Stable,Carting,0.32110226,0.22861111111111115,14.128987638888889,61.80359113001214
IND000000ACB,IND110030AAD,Stable,Carting,0.31725323,0.16209259259259265,12.06780374074074,74.45006306409228
IND000000ACB,IND110037AAK,Stable,Carting,0.18612982,0.132373417721519,9.39578411392405,70.97938752091798
IND000000ACB,IND110043AAA,Stable,Carting,0.19593838,0.1334701492537313,9.150216119402984,68.55627397260275
IND000000ACB,IND110043AAC,Stable,Carting,0.3128639,0.1861111111111112,12.623664666666667,67.82864597014922
IND000000ACB,IND110052AAA,Stable,Carting,0.28639248,0.1573214285714286,15.065119999999999,95.7601271282633
IND000000ACB,IND110064AAA,Stable,Carting,0.27442768,0.1677097902097902,13.260997517482517,79.07109955175649
IND000000ACB,IND110085AAB,Stable,Carting,0.2697549,0.17950000000000005,14.744706878787879,82.1432138094032
IND000000ACB,IND110092AAC,Stable,Carting,0.34489,0.19378571428571428,15.785758,81.4598643568006
IND000000ACB,IND110095AAB,Stable,Carting,0.27423236,0.2849718045112783,15.606795394736842,54.76610369051151
IND000000ACB,IND121002AAB,Stable,Carting,0.3872843,0.18568181818181817,16.17227982404692,87.09673344651954
IND000000ACB,IND121004AAB,Stable,Carting,0.39449835,0.17162162162162165,16.037543918918917,93.44710629921258
IND000000ACB,IND122001AAA,Stable,Carting,0.1810348,0.10095982142857143,9.087241249999998,90.00849170904264
IND000000ACB,IND122015AAC,Stable,Carting,0.16059291,0.12562500000000001,8.978396875,71.46982587064676
IND000000ACB,IND124103AAA,Stable,Carting,0.56008494,0.18560344827586212,13.647706896551721,73.53153738968878
IND000000ACB,IND124112AAA,Stable,FTL,0.7198932,0.3151428571428572,27.949706000000003,88.68900362647324
IND000000ACB,IND125001AAA,Stable,FTL,0.7317922,0.4300000000000002,35.476206,82.50280465116275
IND000000ACB,IND125005AAA,Stable,FTL,0.7081479,0.36625000000000013,35.49856,96.92439590443682
IND000000ACB,IND125033AAA,Stable,FTL,0.7882796,0.3825000000000003,32.288074583333334,84.41326688453152
IND000000ACB,IND127021AAA,Stable,FTL,0.82087314,0.3172499999999999,29.513413999999997,93.02888573680065
IND000000ACB,IND131028AAB,Stable,Carting,0.41425675,0.28521255060728756,21.675216504723345,75.99671353371893
IND000000ACB,IND160002AAC,Congested,FTL,0.9239507,0.5869397865853662,54.86776648628048,93.48108228526158
IND000000ACB,IND201001AAC,Stable,FTL,0.6446627,0.19444444444444453,21.783779305555555,112.03086499999995
IND000000ACB,IND201007AAA,Stable,Carting,0.35709766,0.19646825396825396,16.11300111111111,82.0132555039386
IND000000ACB,IND201301AAF,Stable,Carting,0.40609998,0.1858870967741936,16.60111080645161,89.30749414316699
IND000000ACB,IND201301AAM,Stable,Carting,0.4823361,0.29737664473684217,20.01557330592105,67.30714620723981
IND000000ACB,IND209304AAA,Congested,FTL,0.9541724,0.9983457249070634,83.83892921933085,83.97785168773619
IND000000ACB,IND282002AAD,Stable,FTL,0.92211735,0.40888888888888886,38.78020319444444,94.8428882472826
IND000000ACB,IND301001AAB,Stable,FTL,0.810515,0.23895833333333344,29.185869999999998,122.13790409764597
IND000000ACB,IND301705AAA,Stable,FTL,0.6663457,0.30499999999999994,15.573798333333333,51.061633879781425
IND000000ACB,IND302014AAA,Stable,FTL,0.8568969,0.4672129629629628,44.42472922222222,95.08453905150719
IND000000ACB,IND302022AAD,Stable,FTL,0.85074073,0.4142222222222221,44.50694247222222,107.44701777092277
IND000000ACB,IND328001AAA,Stable,FTL,0.81589097,0.5273499999999999,51.2826594,97.24596453967955
IND000000ACB,IND382430AAB,Congested,FTL,0.97309554,1.6151570915619402,168.73962295332134,104.47257659014544
IND000000ACB,IND390022AAA,Congested,FTL,0.9592169,1.7002207792207797,169.8247439090909,99.88393624204645
IND000000ACB,IND411033AAA,High Risk,FTL,0.97165954,2.3303772321428577,247.37840746875,106.15380379479484
IND000000ACB,IND421302AAG,High Risk,FTL,0.97637945,2.4265708101422394,235.9176953030303,97.22267090536765
IND000000ACB,IND462022AAA,Congested,FTL,0.9629009,1.3816975982532749,143.34947631004366,103.74880617239569
IND000000ACB,IND474003AAA,Congested,FTL,0.88617903,1.0848076923076926,63.73203307692308,58.74961389824498
IND000000ACB,IND501359AAE,High Risk,FTL,0.97920305,2.780193715680294,279.97805314215987,100.70451262553523
IND000000ACB,IND521225AAB,High Risk,FTL,0.9809338,3.2115561224489815,314.5347414285714,97.9384228193783
IND000000ACB,IND562132AAA,High Risk,FTL,0.98124593,3.418030546623796,361.8833963474678,105.87482803654953
IND000000ACB,IND600056AAB,High Risk,FTL,0.98256636,3.642800492610839,391.2085138275862,107.3922424851772
IND000000ACB,IND712311AAA,High Risk,FTL,0.98465854,2.822232704402516,253.99205393431166,89.99685020235897
IND000000ACB,IND751002AAB,High Risk,FTL,0.9882666,3.1024531066822987,308.64663776084404,99.48470682636831
IND000000ACB,IND821115AAB,Congested,FTL,0.9596063,1.7126578947368425,160.25641263157894,93.57175949970035
IND000000ACB,IND834002AAB,High Risk,FTL,0.97314364,2.1641975308641976,220.58959567901232,101.9267384483742
IND000000ACB,IND842001AAA,High Risk,FTL,0.9818449,1.8728576388888882,188.65246954166668,100.72974348097738
IND000000ACK,IND501359AAF,Stable,Carting,0.27454552,0.12045212765957451,7.172662074468085,59.54782380216381
IND000000ACN,IND501359AAF,Stable,Carting,0.019475067,0.10539062500000007,5.92155703125,56.1867531504818
IND000000ACT,IND000000ACB,Stable,Carting,0.31237403,0.12710191082802555,11.293575732484076,88.85449210724124
IND000000ACT,IND131028AAB,Stable,Carting,0.16333343,0.14512857142857147,10.0209766,69.04895777143417
IND000000ACT,IND160002AAC,Stable,FTL,0.91424084,0.4470952380952383,45.129149166666664,100.93855921823405
IND000000ADM,IND683511AAA,Stable,Carting,0.1817714,0.11000000000000003,6.6997349999999996,60.906681818181795
